date,open,high,low,close,volume,average,barCount
2025-01-31 09:30:00-05:00,247.09,247.19,246.53,246.55,1652068.0,247.119,1582
2025-01-31 09:30:10-05:00,246.53,246.76,246.15,246.76,197712.0,246.409,897
2025-01-31 09:30:20-05:00,246.8,247.06,246.33,247.06,147312.0,246.68,699
2025-01-31 09:30:30-05:00,247.08,247.13,246.46,246.5,125826.0,246.814,586
2025-01-31 09:30:40-05:00,246.5,246.56,245.91,245.95,137299.0,246.176,693
2025-01-31 09:30:50-05:00,246.0,246.66,245.89,246.57,112097.0,246.221,580
2025-01-31 09:31:00-05:00,246.64,246.67,246.1,246.2,85930.0,246.353,472
2025-01-31 09:31:10-05:00,246.19,246.31,245.88,246.28,84944.0,246.101,452
2025-01-31 09:31:20-05:00,246.31,246.47,246.21,246.35,103366.0,246.34,550
2025-01-31 09:31:30-05:00,246.29,246.47,246.2,246.47,99406.0,246.327,454
2025-01-31 09:31:40-05:00,246.45,246.5,245.72,245.75,126883.0,246.142,629
2025-01-31 09:31:50-05:00,245.77,246.1,245.7,245.73,95718.0,245.92,533
2025-01-31 09:32:00-05:00,245.74,245.77,245.33,245.36,93419.0,245.564,539
2025-01-31 09:32:10-05:00,245.42,245.49,245.25,245.31,107609.0,245.358,534
2025-01-31 09:32:20-05:00,245.35,245.47,245.22,245.47,118543.0,245.345,672
2025-01-31 09:32:30-05:00,245.47,245.86,245.45,245.81,117118.0,245.643,584
2025-01-31 09:32:40-05:00,245.86,246.14,245.83,246.0,106552.0,245.998,476
2025-01-31 09:32:50-05:00,245.99,245.99,245.37,245.83,91985.0,245.697,529
2025-01-31 09:33:00-05:00,245.88,246.07,245.63,246.04,55615.0,245.864,312
2025-01-31 09:33:10-05:00,246.07,246.3,245.92,246.15,87303.0,246.162,464
2025-01-31 09:33:20-05:00,246.12,246.18,245.56,245.61,77711.0,245.865,283
2025-01-31 09:33:30-05:00,245.58,245.68,245.21,245.26,72106.0,245.401,450
2025-01-31 09:33:40-05:00,245.25,245.38,245.01,245.38,117783.0,245.162,556
2025-01-31 09:33:50-05:00,245.37,245.64,245.35,245.46,60261.0,245.526,352
2025-01-31 09:34:00-05:00,245.4,245.57,245.21,245.55,67254.0,245.326,317
2025-01-31 09:34:10-05:00,245.52,245.69,245.47,245.55,69267.0,245.584,300
2025-01-31 09:34:20-05:00,245.51,245.75,245.35,245.63,51304.0,245.556,259
2025-01-31 09:34:30-05:00,245.63,245.64,245.24,245.46,44898.0,245.378,230
2025-01-31 09:34:40-05:00,245.46,245.74,245.45,245.57,52952.0,245.578,221
2025-01-31 09:34:50-05:00,245.54,245.55,245.22,245.29,30470.0,245.4,178
2025-01-31 09:35:00-05:00,245.31,245.88,245.24,245.59,83837.0,245.568,375
2025-01-31 09:35:10-05:00,245.53,245.57,245.06,245.31,64431.0,245.264,272
2025-01-31 09:35:20-05:00,245.35,245.56,245.34,245.48,39001.0,245.441,214
2025-01-31 09:35:30-05:00,245.44,245.51,245.22,245.34,45802.0,245.332,206
2025-01-31 09:35:40-05:00,245.29,245.29,244.77,244.84,130899.0,244.968,644
2025-01-31 09:35:50-05:00,244.9,244.99,244.76,244.89,51636.0,244.869,297
2025-01-31 09:36:00-05:00,244.92,244.95,244.47,244.56,140489.0,244.674,638
2025-01-31 09:36:10-05:00,244.59,244.68,244.44,244.56,69450.0,244.564,352
2025-01-31 09:36:20-05:00,244.64,244.66,244.48,244.59,44506.0,244.586,279
2025-01-31 09:36:30-05:00,244.59,244.72,244.45,244.62,54944.0,244.606,293
2025-01-31 09:36:40-05:00,244.59,244.64,244.34,244.37,55361.0,244.479,294
2025-01-31 09:36:50-05:00,244.34,244.43,244.31,244.34,31973.0,244.381,178
2025-01-31 09:37:00-05:00,244.35,244.43,244.2,244.21,99431.0,244.284,490
2025-01-31 09:37:10-05:00,244.25,244.57,244.23,244.46,62157.0,244.421,327
2025-01-31 09:37:20-05:00,244.4,244.58,244.37,244.54,65350.0,244.486,264
2025-01-31 09:37:30-05:00,244.56,244.63,244.34,244.59,57082.0,244.501,271
2025-01-31 09:37:40-05:00,244.61,244.71,244.34,244.37,52454.0,244.483,284
2025-01-31 09:37:50-05:00,244.34,244.52,244.34,244.38,40333.0,244.446,194
2025-01-31 09:38:00-05:00,244.39,244.58,244.2,244.21,41469.0,244.385,282
2025-01-31 09:38:10-05:00,244.21,244.27,244.13,244.22,33469.0,244.212,202
2025-01-31 09:38:20-05:00,244.22,244.39,244.21,244.34,42123.0,244.297,204
2025-01-31 09:38:30-05:00,244.34,244.44,244.07,244.22,42875.0,244.266,287
2025-01-31 09:38:40-05:00,244.11,244.28,243.92,244.01,111382.0,244.081,593
2025-01-31 09:38:50-05:00,244.03,244.08,243.69,243.83,78516.0,243.833,379
2025-01-31 09:39:00-05:00,243.83,244.1,243.77,244.03,70334.0,243.968,350
2025-01-31 09:39:10-05:00,244.03,244.06,243.83,243.92,65528.0,243.932,267
2025-01-31 09:39:20-05:00,243.91,243.95,243.65,243.68,52652.0,243.805,190
2025-01-31 09:39:30-05:00,243.69,243.94,243.65,243.85,38378.0,243.791,200
2025-01-31 09:39:40-05:00,243.88,243.92,243.65,243.88,59228.0,243.801,255
2025-01-31 09:39:50-05:00,243.86,244.2,243.79,244.16,66303.0,244.015,350
2025-01-31 09:40:00-05:00,244.17,244.26,243.71,243.75,68577.0,244.016,286
2025-01-31 09:40:10-05:00,243.76,243.87,243.61,243.63,58199.0,243.736,294
2025-01-31 09:40:20-05:00,243.65,243.68,243.23,243.27,84767.0,243.398,419
2025-01-31 09:40:30-05:00,243.26,243.5,243.25,243.37,50878.0,243.398,220
2025-01-31 09:40:40-05:00,243.38,243.4,243.24,243.36,51737.0,243.331,227
2025-01-31 09:40:50-05:00,243.36,243.37,243.15,243.24,43919.0,243.249,204
2025-01-31 09:41:00-05:00,243.22,243.32,243.12,243.15,44436.0,243.186,226
2025-01-31 09:41:10-05:00,243.13,243.19,243.01,243.05,40748.0,243.099,202
2025-01-31 09:41:20-05:00,243.04,243.16,242.97,243.08,59431.0,243.04,328
2025-01-31 09:41:30-05:00,243.15,243.16,242.92,242.96,49125.0,243.021,198
2025-01-31 09:41:40-05:00,242.95,243.03,242.87,242.87,40789.0,242.955,183
2025-01-31 09:41:50-05:00,242.88,243.19,242.82,243.12,69007.0,242.98,341
2025-01-31 09:42:00-05:00,243.14,243.3,243.04,243.13,62924.0,243.187,296
2025-01-31 09:42:10-05:00,243.09,243.39,243.04,243.37,69907.0,243.209,358
2025-01-31 09:42:20-05:00,243.37,243.39,243.13,243.23,41596.0,243.262,235
2025-01-31 09:42:30-05:00,243.26,243.34,242.97,243.02,62742.0,243.144,302
2025-01-31 09:42:40-05:00,243.05,243.08,242.82,242.96,38903.0,242.961,242
2025-01-31 09:42:50-05:00,242.94,243.0,242.56,242.65,80262.0,242.756,346
2025-01-31 09:43:00-05:00,242.58,242.72,242.53,242.62,52573.0,242.615,230
2025-01-31 09:43:10-05:00,242.6,242.69,242.38,242.4,87410.0,242.506,399
2025-01-31 09:43:20-05:00,242.39,242.44,242.23,242.39,120470.0,242.317,599
2025-01-31 09:43:30-05:00,242.4,242.79,242.35,242.71,111844.0,242.6,625
2025-01-31 09:43:40-05:00,242.68,242.76,242.47,242.49,70898.0,242.648,374
2025-01-31 09:43:50-05:00,242.49,242.64,242.36,242.59,54160.0,242.449,260
2025-01-31 09:44:00-05:00,242.55,242.62,242.39,242.52,47435.0,242.523,262
2025-01-31 09:44:10-05:00,242.54,242.6,242.23,242.58,67469.0,242.401,309
2025-01-31 09:44:20-05:00,242.59,242.8,242.54,242.75,81311.0,242.655,245
2025-01-31 09:44:30-05:00,242.73,242.84,242.59,242.64,38046.0,242.741,224
2025-01-31 09:44:40-05:00,242.67,242.78,242.41,242.43,80628.0,242.613,244
2025-01-31 09:44:50-05:00,242.45,242.48,242.15,242.3,70042.0,242.232,276
2025-01-31 09:45:00-05:00,242.29,242.33,241.9,242.01,145733.0,242.058,557
2025-01-31 09:45:10-05:00,241.97,242.01,241.8,241.87,82449.0,241.921,365
2025-01-31 09:45:20-05:00,241.88,242.15,241.86,242.13,63026.0,242.034,281
2025-01-31 09:45:30-05:00,242.15,242.33,242.08,242.11,46826.0,242.229,238
2025-01-31 09:45:40-05:00,242.14,242.48,242.11,242.31,37281.0,242.267,173
2025-01-31 09:45:50-05:00,242.44,242.44,242.0,242.05,79319.0,242.191,312
2025-01-31 09:46:00-05:00,242.01,242.06,241.82,242.02,67183.0,241.927,301
2025-01-31 09:46:10-05:00,242.06,242.2,241.92,241.97,26885.0,242.114,154
2025-01-31 09:46:20-05:00,241.99,242.07,241.87,241.95,55612.0,241.957,154
2025-01-31 09:46:30-05:00,241.98,242.18,241.92,242.14,35575.0,242.032,212
2025-01-31 09:46:40-05:00,242.1,242.41,242.1,242.39,46415.0,242.259,226
2025-01-31 09:46:50-05:00,242.39,242.52,242.22,242.25,77826.0,242.366,286
2025-01-31 09:47:00-05:00,242.29,242.29,241.76,241.79,86890.0,241.992,342
2025-01-31 09:47:10-05:00,241.78,241.86,241.52,241.58,91594.0,241.691,328
2025-01-31 09:47:20-05:00,241.64,241.94,241.57,241.91,49831.0,241.71,208
2025-01-31 09:47:30-05:00,241.93,242.3,241.91,242.25,62979.0,242.171,326
2025-01-31 09:47:40-05:00,242.3,242.47,242.26,242.38,97517.0,242.384,472
2025-01-31 09:47:50-05:00,242.39,242.59,242.36,242.44,86945.0,242.467,401
2025-01-31 09:48:00-05:00,242.44,242.8,242.44,242.78,89335.0,242.653,454
2025-01-31 09:48:10-05:00,242.77,242.92,242.62,242.68,91482.0,242.796,489
2025-01-31 09:48:20-05:00,242.65,242.93,242.54,242.92,59119.0,242.734,261
2025-01-31 09:48:30-05:00,242.93,243.05,242.82,242.91,105678.0,242.936,487
2025-01-31 09:48:40-05:00,242.94,243.17,242.9,243.15,98053.0,243.023,424
2025-01-31 09:48:50-05:00,243.16,243.25,243.1,243.2,103231.0,243.187,488
2025-01-31 09:49:00-05:00,243.18,243.3,243.07,243.26,146458.0,243.184,522
2025-01-31 09:49:10-05:00,243.28,243.37,243.11,243.18,90562.0,243.261,344
2025-01-31 09:49:20-05:00,243.18,243.32,243.11,243.31,47104.0,243.207,236
2025-01-31 09:49:30-05:00,243.31,243.57,243.29,243.54,85089.0,243.449,383
2025-01-31 09:49:40-05:00,243.5,243.59,243.1,243.16,112672.0,243.394,533
