date,open,high,low,close,volume,average,barCount
2025-01-24 09:30:00-05:00,533.02,533.15,532.85,532.94,162502.0,532.945,222
2025-01-24 09:30:10-05:00,532.93,533.07,532.93,533.01,15178.0,533.01,77
2025-01-24 09:30:20-05:00,533.0,533.11,532.97,533.1,16166.0,533.061,88
2025-01-24 09:30:30-05:00,533.1,533.18,533.01,533.01,31872.0,533.079,159
2025-01-24 09:30:40-05:00,533.03,533.03,532.85,532.87,28178.0,532.963,29
2025-01-24 09:30:50-05:00,532.89,532.91,532.81,532.84,8130.0,532.855,56
2025-01-24 09:31:00-05:00,532.81,532.82,532.68,532.78,6250.0,532.781,52
2025-01-24 09:31:10-05:00,532.78,532.96,532.73,532.9,13524.0,532.844,109
2025-01-24 09:31:20-05:00,532.93,532.98,532.87,532.91,12224.0,532.927,58
2025-01-24 09:31:30-05:00,532.94,532.95,532.71,532.73,23668.0,532.83,109
2025-01-24 09:31:40-05:00,532.73,532.84,532.66,532.75,15271.0,532.77,67
2025-01-24 09:31:50-05:00,532.73,532.74,532.55,532.56,20608.0,532.664,68
2025-01-24 09:32:00-05:00,532.54,532.54,532.4,532.5,22459.0,532.464,100
2025-01-24 09:32:10-05:00,532.5,532.5,532.38,532.47,9645.0,532.417,55
2025-01-24 09:32:20-05:00,532.46,532.46,532.26,532.26,36936.0,532.344,204
2025-01-24 09:32:30-05:00,532.23,532.35,532.18,532.34,10089.0,532.249,68
2025-01-24 09:32:40-05:00,532.34,532.34,532.15,532.27,16727.0,532.257,71
2025-01-24 09:32:50-05:00,532.29,532.35,532.21,532.35,7484.0,532.278,48
2025-01-24 09:33:00-05:00,532.31,532.32,532.21,532.27,22292.0,532.283,116
2025-01-24 09:33:10-05:00,532.26,532.43,532.24,532.43,15008.0,532.319,76
2025-01-24 09:33:20-05:00,532.43,532.66,532.42,532.62,35018.0,532.588,186
2025-01-24 09:33:30-05:00,532.6,532.7,532.56,532.67,16816.0,532.611,64
2025-01-24 09:33:40-05:00,532.68,532.73,532.58,532.73,27944.0,532.62,111
2025-01-24 09:33:50-05:00,532.72,532.78,532.57,532.59,17677.0,532.709,101
2025-01-24 09:34:00-05:00,532.57,532.6,532.44,532.6,12062.0,532.503,67
2025-01-24 09:34:10-05:00,532.6,532.68,532.56,532.59,15146.0,532.616,86
2025-01-24 09:34:20-05:00,532.61,532.66,532.49,532.6,8028.0,532.581,66
2025-01-24 09:34:30-05:00,532.58,532.59,532.45,532.58,9361.0,532.524,84
2025-01-24 09:34:40-05:00,532.58,532.59,532.37,532.41,11525.0,532.446,83
2025-01-24 09:34:50-05:00,532.44,532.44,532.35,532.38,7310.0,532.378,64
2025-01-24 09:35:00-05:00,532.37,532.54,532.35,532.48,16355.0,532.44,128
2025-01-24 09:35:10-05:00,532.48,532.51,532.24,532.45,23484.0,532.372,115
2025-01-24 09:35:20-05:00,532.52,532.53,532.41,532.41,6140.0,532.481,43
2025-01-24 09:35:30-05:00,532.44,532.55,532.4,532.43,6212.0,532.482,51
2025-01-24 09:35:40-05:00,532.41,532.41,532.15,532.15,19484.0,532.297,143
2025-01-24 09:35:50-05:00,532.16,532.32,532.12,532.32,6670.0,532.234,51
2025-01-24 09:36:00-05:00,532.31,532.37,532.25,532.34,11155.0,532.308,61
2025-01-24 09:36:10-05:00,532.29,532.36,532.22,532.36,7083.0,532.276,53
2025-01-24 09:36:20-05:00,532.35,532.38,532.28,532.3,10019.0,532.332,52
2025-01-24 09:36:30-05:00,532.36,532.49,532.35,532.44,14104.0,532.405,78
2025-01-24 09:36:40-05:00,532.46,532.56,532.44,532.54,11336.0,532.517,55
2025-01-24 09:36:50-05:00,532.55,532.56,532.34,532.42,11301.0,532.489,47
2025-01-24 09:37:00-05:00,532.42,532.42,532.31,532.41,13484.0,532.375,59
2025-01-24 09:37:10-05:00,532.39,532.39,532.3,532.38,3949.0,532.355,31
